"ID","Date","Description","Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count","Pace","Avg Watts","Cal/Hour","Avg Heart Rate","Drag Factor","Age","Weight","Type","Ranked","Comments"
"34090519","2018-07-12 16:42:00","1x20:00/3:00r row","20:00.0","1200","3:00.0","180","4560","9","19","377","2:11.5","154","828","157","98","17","Lwt","Indoor Rower","No",""
"34090676","2018-07-12 00:00:00","13,780m row","1:00:00.0","3600","","","13780","","","","2:10.6","157","840","","","17","Lwt","Indoor Rower","No",""
"34079670","2018-07-11 00:00:00","18,213m row","1:20:00.0","4800","","","18213","","","","2:11.7","153","826","","","17","Lwt","Indoor Rower","No",""
"34074469","2018-07-10 00:00:00","9,423m row","40:00.0","2400","","","9423","","","","2:07.3","169","883","","","17","Lwt","Indoor Rower","No",""
"34063154","2018-07-09 10:07:00","2x20:00/3:00r row","40:00.0","2400","6:00.0","360","9220","53","23","909","2:10.1","159","846","","100","17","Lwt","Indoor Rower","No",""
"34074468","2018-07-09 00:00:00","9,347m row","40:00.0","2400","","","9347","","","","2:08.3","165","869","","","17","Lwt","Indoor Rower","No",""
"34054432","2018-07-08 16:57:00","10:05 row","10:05.1","605.1","","","2472","","24","248","2:02.3","191","957","157","121","17","Lwt","Indoor Rower","No","was going to do 3x20', but the YMCA was closing and had to get off erg"
"34054433","2018-07-08 16:46:00","2x20:00/3:00r row","40:00.0","2400","6:00.0","360","9416","369","21","881","2:07.4","169","881","170","122","17","Lwt","Indoor Rower","No","someone elses heart rate monitor connected to my erg and mine connected to someone elses"
"34054714","2018-07-08 00:00:00","18,847m row","1:20:00.0","4800","","","18847","","","","2:07.3","169","883","","","17","Lwt","Indoor Rower","No","phone died, erg data app disconnected"
"34045743","2018-07-07 07:19:00","2000m row","7:03.6","423.6","","","2000","","32","229","1:45.9","295","1314","","118","17","Lwt","Indoor Rower","Yes","2,000m piece test at Owenwood 6:00am, 2 splits off PR Benchmark piece"
"34038932","2018-07-06 10:33:00","9:35 row","9:35.8","575.8","","","2371","","24","237","2:01.4","195","972","","100","17","Lwt","Indoor Rower","No",""
"34033874","2018-07-05 16:18:00","1x20:00/3:00r row","20:00.0","1200","3:00.0","180","4474","19","20","390","2:14.1","145","799","145","100","17","Lwt","Indoor Rower","No",""
"34023114","2018-07-04 12:11:00","2x20:00/3:00r row","40:00.0","2400","6:00.0","360","9290","166","21","890","2:09.1","162","858","156","101","17","Lwt","Indoor Rower","No",""
"34023115","2018-07-04 11:27:00","2x20:00/3:00r row","40:00.0","2400","6:00.0","360","9270","130","21","857","2:09.4","161","855","155","100","17","Lwt","Indoor Rower","No",""
"34005456","2018-07-02 12:01:00","4x20:00/3:00r row","1:20:00.0","4800","12:00.0","720","17622","262","21","1768","2:16.1","139","776","156","104","17","Lwt","Indoor Rower","No",""
"33992815","2018-06-30 17:37:00","2x20:00/3:00r row","40:00.0","2400","6:00.0","360","9197","141","21","851","2:10.4","158","842","153","99","17","Lwt","Indoor Rower","No",""
"33983512","2018-06-29 17:24:00","1:12 row","1:12.9","72.90000000000001","","","315","","28","34","1:55.7","226","1077","","197","17","Lwt","Indoor Rower","No",""
"33983513","2018-06-29 17:08:00","0:16 row","0:16.0","16","","","136","","30","7","0:58.8","1720","6218","","230","17","Lwt","Indoor Rower","No",""
"33983514","2018-06-29 17:07:00","0:18 row","0:18.0","18","","","127","","27","7","1:10.8","983","3684","","231","17","Lwt","Indoor Rower","No",""
"33982670","2018-06-29 15:14:00","4x20:00/3:00r row","1:20:00.0","4800","12:00.0","720","18590","295","21","1738","2:09.1","163","859","154","100","17","Lwt","Indoor Rower","No",""
"33983374","2018-06-27 19:21:00","1x20:00/3:00r row","20:00.0","1200","3:00.0","180","4825","23","22","434","2:04.3","182","926","","89","16","Lwt","Indoor Rower","No",""
"33963247","2018-06-27 11:05:00","4x20:00/3:00r row","1:20:00.0","4800","12:00.0","720","18178","254","21","1789","2:12.0","152","823","156","100","16","Lwt","Indoor Rower","No",""
"33957405","2018-06-26 17:03:00","3x20:00/3:00r row","1:00:00.0","3600","9:00.0","540","13669","139","19","1152","2:11.6","153","827","158","99","16","Lwt","Indoor Rower","No",""
"33959446","2018-06-26 00:00:00","4,650m row","19:00.0","1140","","","4650","","","","2:02.5","190","953","","","16","Lwt","Indoor Rower","No","done at practice during rotations"
"33948023","2018-06-25 18:53:00","4x20:00/3:00r row","1:20:00.0","4800","12:00.0","720","18403","272","21","1693","2:10.4","158","843","156","101","16","Lwt","Indoor Rower","No",""
"33922628","2018-06-22 15:26:00","8x0:30/1:00r row","4:00.0","240","8:00.0","480","1222","796","38","335","1:38.1","370","1572","","118","16","Lwt","Indoor Rower","No",""
